State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.56459	3.55367	3.51943	3.50305	3.49362	3.44549	3.38296	3.30207	3.21870	3.12292	3.00978	2.88274	2.77703	2.68473	2.57407	2.47035	2.37060	2.29219	2.21726	2.15473	2.09717
2	0.85809	0.83119	0.81640	0.80295	0.74915	0.75588	0.78278	0.78143	0.75184	0.75588	0.73032	0.69266	0.68594	0.69266	0.66442	0.66845	0.65769	0.65231	0.65231	0.65366	0.67518
3	1.64147	1.57569	1.61157	1.60858	1.67436	1.70127	1.69828	1.74911	1.70426	1.65343	1.62054	1.62054	1.61157	1.44712	1.34248	1.32454	1.27670	1.26773	1.30660	1.31258	1.32454
4	1.49320	1.49649	1.55570	1.58420	1.57543	1.55898	1.60174	1.71686	1.76619	1.78154	1.80785	1.90871	1.94818	1.94051	1.96682	1.97011	1.99313	1.98765	1.97778	1.96463	2.03370
5	1.82043	1.85653	1.85137	1.89263	1.86169	2.04734	2.10922	2.13501	2.26909	2.42380	2.38770	2.37739	2.21236	2.26394	2.27425	2.23299	2.25362	2.43412	2.41349	2.43412	2.34645
6	4.21629	4.14503	4.09356	3.96291	3.80456	3.61057	3.51555	3.38491	3.34136	3.17112	3.05235	3.07611	3.08798	3.14341	3.23842	3.30969	3.39282	3.36115	3.36115	3.29385	3.30177
7	3.09244	3.10275	3.00310	2.93094	2.92751	2.98936	3.04090	2.95843	2.84161	2.72822	2.56672	2.51862	2.57360	2.64232	2.72478	2.76601	2.84161	2.81412	2.80038	2.96531	2.97905
8	1.47695	1.47324	1.47648	1.47417	1.47371	1.47232	1.45890	1.44641	1.43438	1.41679	1.40430	1.38255	1.37469	1.35711	1.33397	1.32379	1.31500	1.31361	1.30852	1.29510	1.29557
9	0.64245	0.64616	0.64834	0.65175	0.65652	0.66038	0.66470	0.67054	0.68167	0.69686	0.71510	0.72775	0.73857	0.74995	0.76326	0.77337	0.78175	0.78947	0.79811	0.80436	0.80614
10	0.40202	0.40385	0.40707	0.40799	0.40753	0.41673	0.42087	0.42363	0.41719	0.40707	0.40064	0.40064	0.40156	0.40753	0.40431	0.40891	0.41397	0.41489	0.41305	0.41581	0.41949
