State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.69119	0.64432	0.61103	0.57030	0.54227	0.51993	0.48970	0.46955	0.46123	0.45379	0.45992	0.46780	0.47613	0.48313	0.49759	0.51774	0.55584	0.61585	0.69119	0.81559	0.94393
2	0.96396	0.81200	0.68854	0.60544	0.52590	0.47011	0.42381	0.42381	0.40244	0.39057	0.37157	0.37395	0.40838	0.43212	0.43805	0.46892	0.56508	0.76689	1.09573	1.53379	2.04069
3	4.40194	4.27527	3.96122	3.23284	2.38570	1.67844	1.28522	1.04243	0.93950	0.91839	0.93159	0.92367	0.96062	1.08729	1.58343	3.12728	6.11469	9.31850	11.70156	13.10290	13.58849
4	3.34042	3.55815	3.50686	3.52815	3.39751	3.05302	2.54499	1.85407	1.34894	1.12831	0.99090	0.96090	0.99187	1.07025	1.16992	1.46893	1.84052	2.14437	2.33984	2.40468	2.33791
5	3.11801	3.31830	3.64148	3.89638	3.95100	3.92369	3.75982	3.59596	3.00422	2.02557	1.50211	1.36555	1.25631	1.33824	1.57039	1.84350	2.07564	2.20765	2.20309	2.06654	2.13482
6	6.61134	8.09295	9.95196	12.42247	15.80153	19.61388	23.87002	28.87395	33.54243	34.12249	35.39095	43.01216	44.00806	43.30220	41.12171	37.09969	30.96708	24.37670	18.85211	14.45969	11.06317
7	5.08604	5.55613	6.76319	8.54345	10.60274	13.38080	16.28928	18.62758	20.01358	23.00091	23.74091	17.35683	15.07008	13.45965	12.30415	11.02733	9.12879	7.30606	5.47727	4.28841	3.55143
8	1.93216	1.96238	1.98770	1.99301	1.97341	1.92726	1.82679	1.71039	1.58624	1.49353	1.44697	1.44983	1.52661	1.63402	1.75369	1.82556	1.90153	1.94441	1.96483	1.94564	1.90929
9	0.69042	0.66185	0.63033	0.58809	0.54253	0.49074	0.44155	0.39662	0.36335	0.34321	0.33250	0.33052	0.33954	0.35169	0.36675	0.38321	0.40352	0.42644	0.45267	0.47379	0.49424
10	0.28176	0.28095	0.27770	0.27608	0.27323	0.26877	0.26227	0.25090	0.24319	0.24441	0.24441	0.24644	0.25050	0.25699	0.25537	0.25659	0.25943	0.26227	0.26065	0.26227	0.26146
