State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	7.00612	0.74757	3.88110	2.26460	3.00959	0.45993	0.62044	0.27823
2	2.58504	0.28605	0.88618	2.28119	0.72905	0.37159	0.66923	0.21741
3	1.16284	0.21008	1.50451	2.26354	1.62071	0.93161	3.55659	0.21939
4	3.17131	0.28277	1.38405	1.11563	1.80694	0.99093	2.18765	0.53257
5	0.67419	0.31738	1.70155	1.31617	2.38795	1.50216	2.54687	0.46071
6	0.87821	38.59803	6.70466	1.76358	3.05267	35.38854	22.00347	0.19210
7	1.01186	26.92644	4.22102	0.96742	2.56699	23.74164	11.79279	0.35376
8	7.51414	1.78812	1.39871	0.95879	1.40445	1.44702	1.89565	0.89731
9	68.43753	0.24343	0.58527	0.84548	0.71517	0.33251	0.48954	1.10913
10	7.55875	0.18903	0.33182	0.47423	0.40068	0.24442	0.28163	1.59530
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
