State (Emission order)	H3k27me3	H3k4me3	H3k4me2	H3k9ac	H3k27ac	H3k4me1	H4k20me1	H3k79me2	H3k36me3	H3k9me3
1	1.3893297704241283E-4	6.393165096988727E-5	1.1510300948157525E-4	0.0025478730816208455	0.001863208539874051	0.006234717107722843	0.03293383047174467	0.021173762578819637	0.2854320788939789	0.0011212850699396002
2	6.820466982795743E-4	1.4328320857984943E-4	0.0011818358340266435	0.0035634048295491087	0.004353821365846125	0.06813018979173267	0.17639386397522072	0.6494634579731934	0.14935302728756844	0.010602787612529068
3	0.0012518189777974004	0.036696280903322	0.30978637706140694	0.1564164509933687	0.1445664853781565	0.8924196848031103	0.39444390893817677	0.9016844437464039	0.1867810862081447	0.0035632757242602103
4	0.03447469254275494	0.003612091784872117	0.10470226955835314	0.018726592836931684	0.0233974902354979	0.769859916800113	0.01822314668329797	0.012899791536235751	0.01614675453930334	0.0062803762420724565
5	0.0065619515440142415	0.1453428294074416	0.6876806285711428	0.5266241549328585	0.8123723353113304	0.9507209818647039	0.021116539495813425	0.13175589968645235	0.03157722395638484	0.006343723165418634
6	0.3873231836374666	0.8936477221429384	0.9701823786335901	0.9791456971349708	0.7772993230396749	0.3359685250819496	0.17479214475278462	0.611058648864558	0.028681092018735827	0.014217600564971703
7	0.284054790143	0.6490190110881463	0.8105026034988935	0.34178537790782954	0.019142022879663424	0.6060213644970538	0.03635344101992258	0.008316949460497366	3.4151658550835435E-4	0.00556328689019339
8	0.3790015124955564	0.001272717843145129	0.001183204391944239	0.0020024557101728825	1.5538760622257107E-5	0.014598049679233994	0.040350465612250676	3.181288067862597E-4	2.111301446867916E-4	0.00355482743973076
9	0.00518235079638528	3.365947269851312E-5	1.7554102556842198E-4	2.9927694267991466E-4	2.5066717789261385E-5	9.190222177196709E-4	0.004357939612038447	3.481378121976604E-4	8.568737108490688E-4	0.0029913261092385118
10	0.005685163318717957	2.7106346676386214E-4	3.4998813321688747E-4	4.4724863602602853E-4	1.1515556021409464E-4	8.983441064233189E-4	0.003012212453402081	0.0025088956735737035	0.002747696130067003	0.5409334454569187
