State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9722894127779711	0.009510796504757895	9.680792356494278E-4	0.007191610280748459	3.759205544282851E-4	6.163180019237596E-5	3.066122397154323E-5	0.0	0.009309072855340984	2.628147669399024E-4
2	0.025835388271875183	0.9250027539015203	0.04568527358178281	9.837097561937779E-4	7.0116742237607765E-6	2.3391238656469304E-4	2.0227535007557165E-5	1.1260798141314647E-5	0.0019198151069722482	3.006469877183746E-4
3	0.006640916655342726	0.10357998661863492	0.8399678240212288	0.010683965652619901	0.007459751241577833	0.031357253826311465	2.5665928442778667E-4	0.0	0.0	5.3642699856575435E-5
4	0.015224590284869865	7.96116867466194E-4	0.0038104672629724243	0.7727803427216534	0.03008197967876638	5.944098006149793E-4	0.03152338357319912	0.011433617640371053	0.13263625943934573	0.0011188327307409692
5	0.0035226560038801136	0.0	0.012475016018190985	0.14379575075656706	0.8124392444030297	0.02695621803430831	5.313310216514913E-4	0.0	4.6365897928280344E-8	2.797373964744135E-4
6	4.2044750689905296E-4	6.618126176606438E-4	0.042669303947326	0.0025288541431945748	0.02081917971308603	0.8636215949639366	0.06431382560525647	0.0	0.0013384363768723126	0.0036265451257682197
7	2.4491245141862575E-4	1.1051153298238289E-4	3.715813207350372E-4	0.10506373641187002	3.0319577580206796E-4	0.058126135661795836	0.739878996967952	0.05701102968596824	0.03807878135709938	8.111188343762196E-4
8	0.0	1.134550842903028E-6	0.0	0.004922486465864412	0.0	0.0	0.007355216942880113	0.9532821032155897	0.034037453285488545	4.016055393342081E-4
9	9.490090761828488E-4	6.645137519789403E-5	0.0	0.006509068946896533	1.2481023650283989E-8	1.8045915560390036E-5	5.817936423049747E-4	0.003913437160602762	0.9845343997550081	0.003427781647222908
10	2.3734456649394684E-4	1.1939742776474998E-4	3.8742745217950706E-6	5.223953432353817E-4	1.8436704017723494E-5	4.285139082534539E-4	9.53293649545202E-5	3.774530719201208E-4	0.029900997319024677	0.9682962580198134
